Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr2	10180	1.25390663682	0
chr2	12239	1.25390663682	0.00258179376522
chr2	12370	1.25362626608	0.00274605553464
chr2	12443	1.24928511329	0.00283757025207
chr2	12617	1.23626622135	0.00305494586178
chr2	12950	1.10497408488	0.00346662251349
chr2	12993	1.04837945924	0.00351413639914
chr2	13132	0.85766698275	0.00365986114397
chr2	13240	0.635680529699	0.00375248917811
chr2	13650	0.345505276877	0.00401311819528
chr2	13749	0.307335538561	0.0040473232177
chr2	32004	0.225157618165	0.00965773347412
chr2	62292	0.225157618165	0.0164773074131
chr2	63261	0.247699377006	0.0166954851451
chr2	63451	0.284015268255	0.0167425480267
chr2	63494	0.285640634279	0.0167547606833
chr2	64200	0.285640634279	0.0169564229711
chr2	66343	0.285640634279	0.0175685508503
chr2	66661	0.384710030212	0.017659384572
chr2	66730	0.450914308979	0.0176859295641
chr2	66838	0.488165623238	0.0177346283095
chr2	67276	0.488165623238	0.0179484448525
chr2	67533	0.488165623238	0.0180739034176
chr2	67570	0.594396896521	0.0180919655457
chr2	67737	0.808360372993	0.0181912298274
chr2	68350	0.945623676538	0.0186867547361
chr2	68424	0.945623676538	0.0187567308881
chr2	68448	0.945623676538	0.0187794258564
chr2	68493	2.17393164588	0.0188219789218
chr2	68619	2.17393164588	0.0190958943092
chr2	70817	2.17393164588	0.0238741960668
chr2	71017	3.04723007056	0.024308982396
chr2	71044	3.89085437379	0.0243912576079
chr2	71195	4.56762188501	0.0249787766184
chr2	72183	4.56762188501	0.0294915870407
chr2	77470	2.18830260746	0.0536406039468
chr2	79737	0.503519554022	0.0586014859579
chr2	104761	0.213074301615	0.0712015592777
chr2	105264	0.152357764923	0.0713087356514
chr2	105516	0.0978354523556	0.0713471298082
chr2	106412	0.0938834758452	0.0714347903735
chr2	119345	0.18206711587	0.0726489853666
chr2	119436	0.30565399017	0.0726655534742
chr2	119662	0.819089815354	0.0727346312759
chr2	127540	0.819089815354	0.0791874208413
chr2	127772	0.701735247339	0.0793774496785
chr2	128344	0.166305179747	0.0797788422399
chr2	128889	0.166305179747	0.0798694785629
chr2	129008	0.166305179747	0.0798892688793
chr2	129027	0.0997325253301	0.0798924286777
chr2	129340	0.0997325253301	0.0799236449581
chr2	132583	0.0997325253302	0.0802470775378
chr2	132695	0.0994686581419	0.0802582475806
chr2	132821	0.0994686581419	0.0802707806315
chr2	143135	0.099479473272	0.0812967003716
chr2	143485	0.0999381352257	0.0813315181873
